pair,starttime,endtime,interval,0.01,0.02,start,end
mbox/usdt,2021-08-19 08:00:00,2023-01-01 00:00:00,"499 days, 16:00:00",47086,9153,,
ava/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",52394,9081,,
clv/usdt,2021-07-29 06:00:00,2023-01-01 00:00:00,"520 days, 18:00:00",43757,9053,,
avax/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",93634,9009,,
hnt/usdt,2021-01-01 00:00:00,2022-10-14 02:59:00,"651 days, 2:59:00",83614,9001,,
gtc/usdt,2021-06-10 10:00:00,2023-01-01 00:00:00,"569 days, 14:00:00",55827,8822,,
for/usdt,2021-08-20 10:00:00,2023-01-01 00:00:00,"498 days, 14:00:00",35162,8811,,
stx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",57221,8768,,
dgb/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",66878,8725,,
rune/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",93373,8470,,
ctk/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",67595,8425,,
icx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",74950,8419,,
bzrx/usdt,2021-01-01 00:00:00,2021-12-20 03:59:00,"353 days, 3:59:00",81747,8383,,
rif/usdt,2021-01-07 13:00:00,2023-01-01 00:00:00,"723 days, 11:00:00",35117,8361,,
badger/usdt,2021-03-02 08:00:00,2023-01-01 00:00:00,"669 days, 16:00:00",53983,8304,,
aca/usdt,2022-01-25 12:00:00,2023-01-01 00:00:00,"340 days, 12:00:00",37647,8282,,
qtum/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",62349,8211,,
flux/usdt,2021-12-10 06:00:00,2023-01-01 00:00:00,"386 days, 18:00:00",41093,8117,,
ftt/usdt,2021-01-01 00:00:00,2022-11-15 04:29:00,"683 days, 4:29:00",26248,8012,,
gal/usdt,2022-05-05 12:00:00,2023-01-01 00:00:00,"240 days, 12:00:00",30530,8000,,
zrx/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",56120,7897,,
zil/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",69815,7879,,
c98/usdt,2021-07-23 12:00:00,2023-01-01 00:00:00,"526 days, 12:00:00",48981,7834,,
xrp/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",56506,7756,,
ren/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",69077,7708,,
rndr/usdt,2021-11-27 10:00:00,2023-01-01 00:00:00,"399 days, 14:00:00",42751,7702,,
ksm/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",67800,7670,,
high/usdt,2021-12-17 07:00:00,2023-01-01 00:00:00,"379 days, 17:00:00",39997,7639,,
cake/usdt,2021-02-19 06:00:00,2023-01-01 00:00:00,"680 days, 18:00:00",52604,7604,,
tomo/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",67449,7583,,
sun/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",50996,7571,,
sushi/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",74043,7467,,
ach/usdt,2022-01-10 10:00:00,2023-01-01 00:00:00,"355 days, 14:00:00",27460,7465,,
auction/usdt,2021-10-29 10:00:00,2023-01-01 00:00:00,"428 days, 14:00:00",22323,7456,,
epx/usdt,2022-05-23 04:00:00,2023-01-01 00:00:00,"222 days, 20:00:00",26310,7408,,
etc/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",59900,7329,,
near/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",70972,7269,,
agld/usdt,2021-10-05 07:00:00,2023-01-01 00:00:00,"452 days, 17:00:00",38438,7267,,
icp/usdt,2021-05-11 01:00:00,2023-01-01 00:00:00,"599 days, 23:00:00",61265,7243,,
lina/usdt,2021-03-18 12:00:00,2023-01-01 00:00:00,"653 days, 12:00:00",69955,7187,,
front/usdt,2021-10-04 10:00:00,2023-01-01 00:00:00,"453 days, 14:00:00",25506,7072,,
elf/usdt,2021-09-08 08:00:00,2023-01-01 00:00:00,"479 days, 16:00:00",24725,7006,,
lpt/usdt,2021-05-28 05:00:00,2023-01-01 00:00:00,"582 days, 19:00:00",32557,7000,,
quick/usdt,2021-08-13 12:00:00,2023-01-01 00:00:00,"505 days, 12:00:00",25086,6992,,
