pair,starttime,endtime,interval,0.01,0.02,start,end
dusk/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",73199,10474,2023-01-27 00:07:25,2023-01-27 00:13:29
flm/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",76114,10360,2023-01-27 00:08:36,2023-01-27 00:14:25
wan/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",68310,10287,2023-01-27 00:10:59,2023-01-27 00:17:02
cvp/usdt,2021-10-04 10:00:00,2023-01-01 00:00:00,"453 days, 14:00:00",31537,10096,2023-01-27 00:12:41,2023-01-27 00:18:26
sxp/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",86150,9996,2023-01-27 00:13:32,2023-01-27 00:20:01
rei/usdt,2022-05-04 04:00:00,2023-01-01 00:00:00,"241 days, 20:00:00",30050,9986,2023-01-27 00:13:39,
grt/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",80320,9982,2023-01-27 00:13:40,2023-01-27 00:19:41
bel/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",81921,9978,2023-01-27 00:14:29,2023-01-27 00:20:24
band/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",75282,9955,2023-01-27 00:17:05,2023-01-27 00:22:56
cfx/usdt,2021-03-29 11:00:00,2023-01-01 00:00:00,"642 days, 13:00:00",54859,9935,2023-01-27 00:18:29,2023-01-27 00:24:16
tvk/usdt,2021-08-06 10:00:00,2023-01-01 00:00:00,"512 days, 14:00:00",52045,9933,2023-01-27 00:19:44,2023-01-27 00:25:54
voxel/usdt,2021-12-14 12:00:00,2023-01-01 00:00:00,"382 days, 12:00:00",44732,9920,2023-01-27 00:20:04,2023-01-27 00:26:43
df/usdt,2021-09-24 10:00:00,2023-01-01 00:00:00,"463 days, 14:00:00",35438,9919,2023-01-27 00:20:27,2023-01-27 00:26:03
waves/usdt,2021-01-01 00:00:00,2023-01-01 00:00:00,"730 days, 0:00:00",79994,9749,2023-01-27 00:22:59,2023-01-27 00:29:45
dodo/usdt,2021-02-19 10:00:00,2023-01-01 00:00:00,"680 days, 14:00:00",76624,9748,2023-01-27 00:24:19,2023-01-27 00:30:19
